individuals,state
2570.0,Alabama
1434.0,Alaska
7259.0,Arizona
2280.0,Arkansas
109008.0,California
7607.0,Colorado
2280.0,Connecticut
708.0,Delaware
3770.0,District of Columbia
21443.0,Florida
6943.0,Georgia
4131.0,Hawaii
1297.0,Idaho
6752.0,Illinois
3776.0,Indiana
1711.0,Iowa
1443.0,Kansas
2735.0,Kentucky
2540.0,Louisiana
1450.0,Maine
4914.0,Maryland
6811.0,Massachusetts
5209.0,Michigan
3993.0,Minnesota
1024.0,Mississippi
3776.0,Missouri
983.0,Montana
1745.0,Nebraska
7058.0,Nevada
835.0,New Hampshire
6048.0,New Jersey
1949.0,New Mexico
39827.0,New York
6451.0,North Carolina
467.0,North Dakota
6929.0,Ohio
2823.0,Oklahoma
11139.0,Oregon
8163.0,Pennsylvania
747.0,Rhode Island
3082.0,South Carolina
836.0,South Dakota
6139.0,Tennessee
19199.0,Texas
1904.0,Utah
780.0,Vermont
3928.0,Virginia
16424.0,Washington
1021.0,West Virginia
2740.0,Wisconsin
434.0,Wyoming
